state_id,state_name,date,day,total_positive,positive_per_100k,positive_increase,positive_increase_per_100k,population_18_plus
VA,Virginia,2020-07-06,6,66102,990.3409471418142,354,5.3036321940063,6674671
VT,Vermont,2020-07-06,6,1253,245.6939825563155,2,0.3921691660915,509984
WA,Washington,2020-07-06,6,40125,674.1621739323287,969,16.2807014714125,5951832
WI,Wisconsin,2020-07-06,6,35230,773.2936889533142,490,10.7554330850731,4555837
WV,West Virginia,2020-07-06,6,3442,240.2658141255637,180,12.5647433302154,1432580
WY,Wyoming,2020-07-06,6,1675,376.3833492500421,41,9.2129655637324,445025
AK,Alaska,2020-07-07,7,1186,215.0256906748471,18,3.2634590490280,551562
AL,Alabama,2020-07-07,7,45785,1200.1691272514803,907,23.7753281296733,3814879
AR,Arkansas,2020-07-07,7,24512,1057.6234796554612,259,11.1751175436833,2317649
AZ,Arizona,2020-07-07,7,105094,1863.8707836383593,3653,64.7869523724563,5638481
CA,California,2020-07-07,7,277774,907.2368941479441,6090,19.8905321785372,30617582
CO,Colorado,2020-07-07,7,34664,770.4451685704424,407,9.0460184516550,4499217
CT,Connecticut,2020-07-07,7,47033,1657.3479824669899,57,2.0085649437760,2837847
DC,Delaware,2020-07-07,7,10569,1372.2552298647610,54,7.0112387560504,770192
DE,District of Columbia,2020-07-07,7,12414,2149.3089280983966,121,20.9494425890048,577581
FL,Florida,2020-07-07,7,209922,1217.0937895412565,7299,42.3184209842781,17247808
GA,Georgia,2020-07-07,7,100470,1238.3001160282402,3406,41.9791997132695,8113542
HI,Hawaii,2020-07-07,7,1030,92.2935760086881,7,0.6272378952047,1116004
IA,Iowa,2020-07-07,7,32029,1319.0271593000495,372,15.3198071516319,2428229
ID,Idaho,2020-07-07,7,8052,601.4053705230703,319,23.8261690507774,1338864
IL,Illinois,2020-07-07,7,149574,1517.9096780112251,587,5.9570044325390,9853946
